kind,item_id
signals,0004314a114a096862e9a3a835acdda28b8b1692
signals,00ba580d3441a17cc93c5da4b0cb904022640eec
signals,015c3f1dd78c1f2e307eeecf21291ae2a0bc6023
signals,013e0ce725b42417fb8b7d16ce292a101ebcf042
signals,0027b42bc41bbc83d233ec745dbcd5f72c3743a3
signals,0128837ca203fbb82ff073907e14e8fcc4d7bdc8
signals,00fa4a5504db1f8e1f68f041faa1487d194a5ee4
signals,012ce4e12f6594a56f6b86bf68196074fd446e03
signals,0032b004c1f1175e52833c65d87faba53e26a8ff
signals,01b171950767dbc4174a9132af29070417f10c64
signals,00ba5a30b0e4c39f6bfb0f54a3be06eecdb80192
signals,01348557947626d0ce55cf7f116ec485a5a7dce6
signals,00651b4b920babceb06e5e6ee418e3e0c7b2f838
signals,00b9907e823c1b38356887ca1a87aa83244bc078
signals,0063349ac55691bf1ee3dc6201f6423c9f63a67e
signals,00ec38e83d812dffa4f8703a75fdd42b74d1e7a1
signals,011b368e35c0c7b0c35fc227426b20ea0c264de5
signals,0069cb965f50c0238e6d9742af544f26471e5817
signals,017f98ab84a380c3edf30b470d1ca43448254a99
signals,01962e498754aa9211ebad91489b037ed99b6d77
signals,003f518f937bc77673988c60edd081adbdeb4b51
signals,00652eb326b2a7a67d09bfa0a161a6ab0b4ab885
signals,002194ad6704567be98bdd7fa035c5d541000c7c
signals,004c35c74a73e6758b585711e39e2a2e58798053
signals,01345cc3135ee8d4cd460b23ef5a5e3b81ca4160
signals,0168dfd5e92fbc7b490598fdc3c5dc74ba1e63b6
signals,00477027e3301176ab85207f28837f9828932bfb
signals,001e5344cd831468474b8d49437dc9ede02efc52
signals,00a14f3cef782493e39ff03c62c56715b886452a
signals,002a73e0e64cd23de788acb5553a7edb292c6478
signals,0194dd4f1795cd981a366438a9da281341963d7d
signals,00ea56ba11ec66e647a61f420937a56025bda0fc
signals,011bfc816f400af136ac4237d20172d79476fc0a
signals,000bf0d8cc78c00c772df3d712a72d34ce017c08
signals,00ecf9cc6e1d53ef50fa77a2126020264b8d9924
signals,006c9cf761ef0ffdff357c8201533fcaad5b0f5a
signals,007c3c15edcb9b6934edd2f6bfc8d28bd18a359e
signals,00ebd6ab61b66f0e38607994a1bd118ef80d0ea3
signals,00e063fc4ead798d3e611cf6871ba8eaf1a326ce
signals,009ef91175e359217e23c207442750b06a864c9f
signals,015b31aad8a3311d2012e43557c6f989d9b4c5ee
signals,007d5239991ef5b5595db7e884f28cfc4eccacf5
signals,00d01b0936a3bc2ec372e7060db5ae57df67ad6d
signals,005a55cad3182b3563ecdf07c2b1568cc87e38f2
signals,002ced0fc91358c066406eda5ff7a535acde06ab
lineage,0041570b4c912e94dea0fd80329ba85809be1610|00d582a901f85103a65f1cd538262765d92fcd85
lineage,012df6eaf099bf52fda153b5108918fdbf6cb370|01a92b90e12d30150837f0a2acb853cbe2acbd17
lineage,00e5dac98ff39f46ca3ca6cb0f2699aec746c86d|019b5adc7a4fc16feb8c5e38805aa453aaefabaf
lineage,006c9bcc95713daee65599061ae77e35c106c9fc|0117db806f6c7502249c8f2b9d6047c76a40de42
lineage,018a846459a0d45f75e60bbda5e5976075296112|01ac0d7bc2e2c61a6086097931f97a5b63e1fe10
lineage,00f623c23a48c1657fddffdd524847459d9890c0|01abbe971cd71177acc899774394787b9247b32b
lineage,005335f2df7661708887849f493c0e653274f7ba|0166f5e067896569f85c2d68d620af176a5f71c0
lineage,009c3ed4ff2c3ad1706c6685baa22ca077ea9599|00f4c3ae4b8a4d6a8f7b5424d931a4aa65183e5e
lineage,0033e47ec148802fb0c4df5b8736d2f7a09ae00a|00a5bfd235aef015299a1732fe9fcd720fb26189
lineage,00187cea6e59fa3e95a34fbe49323c2abdbcaadb|0161412b5c51b96a77d3eb1cb488f80b823bcd2a
lineage,0045dd1ca6c96da09800300c99e650535f603052|00da345c533d55103cb412402dd4be690fa30ea5
lineage,00b12cf20bb58d9f9ce0774001b7175b2df0db63|00e6f65adfb2d9e167d01d850f6a79673047e2b7
lineage,0097355413b21b06628f9c0464303bbe179d3f4a|01a4f971ff1585831c066eac58f5015e4d25cc25
lineage,002faafae31b5930998821bdaf5dd0b63477cf47|01410b8ddba944792213bf8bb30a7dbf4ac9acf2
lineage,00d5471f2c58761e4006bafacd4fb40e9600ec6f|016dfaed60f89dacecf01271db2c47c348990f74
lineage,00187cea6e59fa3e95a34fbe49323c2abdbcaadb|01590087ba06d597c67fd90a3c0401ff2c773f7c
lineage,00a5f0f2eca49fa4b3e676f0d1fbd046b1849a6f|018a846459a0d45f75e60bbda5e5976075296112
lineage,00635498f2915bb2aecfbdfe5a2185a09f367d9e|01444cec7244a3f1218629d0a16de40bd5d4a739
drift,01120a26b73993c8acb870d784c896d6412cd94f|01a59e947fbd5666b971f4966550471407d35926
drift,0022c93ff7f75c54f87ced79d5d3339935342944|00635498f2915bb2aecfbdfe5a2185a09f367d9e
drift,00635498f2915bb2aecfbdfe5a2185a09f367d9e|01444cec7244a3f1218629d0a16de40bd5d4a739
drift,00b12cf20bb58d9f9ce0774001b7175b2df0db63|00f9364c767e7188545dc1269547e8777ffe8a40
drift,007f37e2a5244bfd0536118a7d0968cdbe6cfe0f|008736fc00e200f7efbd5df346b24fff0a464d18
drift,00b12cf20bb58d9f9ce0774001b7175b2df0db63|01483d2613b14de0d0dad862f8851df4c4f8eaf9
